RUN INSTRUCTION:
To run the implementation, first start the REST server:
node dist/REST_API/rest.js
Then in another terminal, run the actual monte_carlo application:
node dist/monte_carlo.js -n 100

OUTPUT:

{'pomposity': 85.59, 'learning_curve': 91.34, 'optimism': 47.75, 'atleast': 4.74, 'done_percent': 6.71, 'productivity_new': 0.01, 'productivity_exp': 1.81, 'd': 1.00, 'ep': 5.25, 'nprod': 5.77, 'np': 29.79, 'ts': 65.11, 'to': 67.46, 'r': 787.70, 'verbose': False}
{'pomposity': 58.31, 'learning_curve': 11.45, 'optimism': 99.84, 'atleast': 8.19, 'done_percent': 7.45, 'productivity_new': 0.52, 'productivity_exp': 7.90, 'd': 0.14, 'ep': 1.12, 'nprod': 8.25, 'np': 20.85, 'ts': 18.39, 'to': 66.96, 'r': 660.72, 'verbose': False}
{'pomposity': 26.39, 'learning_curve': 43.86, 'optimism': 96.06, 'atleast': 1.97, 'done_percent': 9.63, 'productivity_new': 0.72, 'productivity_exp': 8.34, 'd': 0.58, 'ep': 6.43, 'nprod': 6.65, 'np': 4.47, 'ts': 13.07, 'to': 41.01, 'r': 249.33, 'verbose': False}
{'pomposity': 91.17, 'learning_curve': 53.96, 'optimism': 64.38, 'atleast': 3.77, 'done_percent': 2.06, 'productivity_new': 0.73, 'productivity_exp': 1.65, 'd': 0.86, 'ep': 2.59, 'nprod': 8.17, 'np': 4.07, 'ts': 30.91, 'to': 8.41, 'r': 502.81, 'verbose': False}
{'pomposity': 89.65, 'learning_curve': 93.02, 'optimism': 71.14, 'atleast': 6.38, 'done_percent': 0.86, 'productivity_new': 0.29, 'productivity_exp': 6.40, 'd': 0.54, 'ep': 9.98, 'nprod': 0.49, 'np': 8.43, 'ts': 84.35, 'to': 82.04, 'r': 694.78, 'verbose': False}
{'pomposity': 38.03, 'learning_curve': 14.15, 'optimism': 74.26, 'atleast': 5.90, 'done_percent': 4.67, 'productivity_new': 0.31, 'productivity_exp': 1.37, 'd': 0.02, 'ep': 2.93, 'nprod': 2.98, 'np': 3.33, 'ts': 17.77, 'to': 8.03, 'r': 60.89, 'verbose': False}
{'pomposity': 1.88, 'learning_curve': 32.20, 'optimism': 28.82, 'atleast': 3.99, 'done_percent': 5.55, 'productivity_new': 0.77, 'productivity_exp': 1.23, 'd': 0.32, 'ep': 7.52, 'nprod': 8.78, 'np': 22.98, 'ts': 13.04, 'to': 22.56, 'r': 886.19, 'verbose': False}
{'pomposity': 59.27, 'learning_curve': 82.43, 'optimism': 18.29, 'atleast': 6.04, 'done_percent': 0.23, 'productivity_new': 0.24, 'productivity_exp': 3.23, 'd': 0.14, 'ep': 1.16, 'nprod': 5.71, 'np': 20.50, 'ts': 91.90, 'to': 65.14, 'r': 379.37, 'verbose': False}
{'pomposity': 14.41, 'learning_curve': 92.06, 'optimism': 33.56, 'atleast': 2.88, 'done_percent': 2.73, 'productivity_new': 0.28, 'productivity_exp': 9.05, 'd': 0.30, 'ep': 6.40, 'nprod': 7.03, 'np': 18.25, 'ts': 65.33, 'to': 52.13, 'r': 842.99, 'verbose': False}
{'pomposity': 64.55, 'learning_curve': 39.40, 'optimism': 14.19, 'atleast': 1.78, 'done_percent': 0.10, 'productivity_new': 0.56, 'productivity_exp': 6.52, 'd': 0.27, 'ep': 9.08, 'nprod': 6.73, 'np': 19.33, 'ts': 41.97, 'to': 18.28, 'r': 555.44, 'verbose': False}
{'pomposity': 42.21, 'learning_curve': 57.12, 'optimism': 86.71, 'atleast': 8.80, 'done_percent': 7.94, 'productivity_new': 0.07, 'productivity_exp': 1.67, 'd': 0.47, 'ep': 8.90, 'nprod': 7.58, 'np': 27.79, 'ts': 25.70, 'to': 53.77, 'r': 300.60, 'verbose': False}
{'pomposity': 95.83, 'learning_curve': 1.82, 'optimism': 14.45, 'atleast': 7.09, 'done_percent': 9.80, 'productivity_new': 0.56, 'productivity_exp': 1.69, 'd': 0.89, 'ep': 7.36, 'nprod': 3.44, 'np': 9.68, 'ts': 63.50, 'to': 25.54, 'r': 665.36, 'verbose': False}
{'pomposity': 56.61, 'learning_curve': 15.78, 'optimism': 56.75, 'atleast': 4.23, 'done_percent': 9.06, 'productivity_new': 0.61, 'productivity_exp': 8.65, 'd': 0.62, 'ep': 7.35, 'nprod': 3.04, 'np': 23.69, 'ts': 68.18, 'to': 3.00, 'r': 352.34, 'verbose': False}
{'pomposity': 84.65, 'learning_curve': 46.74, 'optimism': 96.49, 'atleast': 7.66, 'done_percent': 8.89, 'productivity_new': 0.78, 'productivity_exp': 1.53, 'd': 0.44, 'ep': 1.59, 'nprod': 3.48, 'np': 25.65, 'ts': 97.78, 'to': 7.42, 'r': 232.33, 'verbose': False}
{'pomposity': 95.37, 'learning_curve': 35.75, 'optimism': 62.98, 'atleast': 1.72, 'done_percent': 4.80, 'productivity_new': 0.79, 'productivity_exp': 9.03, 'd': 0.47, 'ep': 6.14, 'nprod': 3.77, 'np': 11.94, 'ts': 42.41, 'to': 88.79, 'r': 842.21, 'verbose': False}
{'pomposity': 18.20, 'learning_curve': 84.19, 'optimism': 47.20, 'atleast': 4.58, 'done_percent': 7.53, 'productivity_new': 0.54, 'productivity_exp': 2.64, 'd': 0.82, 'ep': 5.07, 'nprod': 9.93, 'np': 18.08, 'ts': 71.38, 'to': 36.46, 'r': 909.97, 'verbose': False}
{'pomposity': 53.94, 'learning_curve': 15.16, 'optimism': 50.37, 'atleast': 7.51, 'done_percent': 0.82, 'productivity_new': 0.56, 'productivity_exp': 7.66, 'd': 0.84, 'ep': 1.08, 'nprod': 3.35, 'np': 5.13, 'ts': 1.12, 'to': 93.24, 'r': 187.86, 'verbose': False}
